date,dictatorship_basket_yield,democracy_basket_yield,dictatorship_duration,democracy_duration,dictatorship_price_return,dictatorship_carry,dictatorship_total_return,democracy_price_return,democracy_carry,democracy_total_return,index_return,cumulative_index
2005-12-02,3.6153687706032995,3.9428686406329865,7.906697580392794,8.082160368531072,,,,0.039370737669447424,0.0008519230769230769,0.0402226607463705,,100.0
2005-12-09,3.6061117071689304,3.9544456562886925,7.906697580392794,8.082160368531072,0.0007319280105806925,0.0006952632251160191,0.0014271912356967117,-0.0009356729711841091,0.0007582439693524974,-0.00017742900183161168,0.0016046202375283234,100.16046202375284
2005-12-16,3.5057384318469946,3.902082075554604,7.906697580392794,8.082160368531072,0.00793621133124049,0.0006934830206094097,0.0086296943518499,0.004232108569634275,0.0007604703185170562,0.004992578888151331,0.003637115463698569,100.52475718903062
2005-12-23,3.556850583677749,3.966607263610322,7.906697580392794,8.053874378532973,-0.0040412832720889535,0.0006741804676628836,-0.00336710280442607,-0.005196777588519676,0.0007504003991451162,-0.00444637718937456,0.00107927438494849,100.63325098451791
2005-12-30,3.544870681325039,3.9591951429627446,7.906697580392794,8.053874378532973,0.0009472146494551465,0.0006840097276303363,0.0016312243770854828,0.0005969628857411752,0.0007628090891558311,0.0013597719748970063,0.00027145240218847647,100.66056812223772
2006-01-06,3.472979390776628,3.933474161044884,7.906697580392794,8.067093917824605,0.005684226930304369,0.0006817059002548151,0.006365932830559184,0.0020749357679004945,0.0007613836813389894,0.0028363194492394836,0.0035296133813197007,101.01586101045321
2006-01-13,3.456764372947819,3.926806033094406,7.906697580392794,8.061483117143819,0.0012820724223306986,0.0006678806520724284,0.001949953074403127,0.0005375500089573409,0.0007564373386624776,0.0012939873476198185,0.0006559657267833086,101.08212395313758
2006-01-20,3.4458419509319067,3.9330345798686164,7.906697580392794,8.064926489674866,0.0008636028772524288,0.0006647623794130421,0.0015283652566654708,-0.0005023277187150899,0.0007551550063643088,0.00025282728764921885,0.001275537969016252,101.21105804022864
2006-01-27,3.379076605818903,4.011820898098006,7.906697580392794,8.064926489674866,0.005278933926590761,0.0006626619136407513,0.005941595840231512,-0.006354058649121574,0.0007563528038208877,-0.005597705845300687,0.011539301685532199,102.37896297286674
2006-02-03,3.376452494614074,4.069413613359553,7.906697580392794,8.064926489674866,0.00020748053713901972,0.0006498224241959429,0.0008573029613349626,-0.0046448101492515565,0.000771504018865001,-0.0038733061303865557,0.004730609091721519,102.86327782590723
