date,dictatorship_basket_yield,democracy_basket_yield,dictatorship_duration,democracy_duration,dictatorship_price_return,dictatorship_carry,dictatorship_total_return,democracy_price_return,democracy_carry,democracy_total_return,index_return,cumulative_index
2005-12-02,5.2675,4.404302747252746,7.25,7.730769230769229,,,,0.0019865953085376684,0.0008519230769230769,0.0028385183854607453,,100.0
2005-12-09,5.27475,4.415033516483517,7.25,7.730769230769229,-0.0005256249999999984,0.0010129807692307693,0.00048735576923077085,-0.0008295710059172439,0.000846981297548605,1.7410291631361134e-05,0.0004699454775994097,100.04699454775994
2005-12-16,5.2147499999999996,4.367187362637362,7.25,7.730769230769229,0.004350000000000036,0.001014375,0.005364375000000036,0.0036988757396450057,0.0008490449070160609,0.004547920646661066,0.0008164543533389695,100.12867835199692
2005-12-23,5.18675,4.7804026455026465,7.25,7.629629629629628,0.0020299999999999698,0.0010028365384615384,0.003032836538461508,-0.0315267956556476,0.000839843723584108,-0.030686951932063493,0.033719788470525,103.50499620585948
2005-12-30,5.10875,4.7015878306878305,7.25,7.629629629629628,0.005655000000000021,0.000997451923076923,0.006652451923076944,0.0060132784636489234,0.0009193082010582013,0.0069325866647071245,-0.00028013474163018047,103.47600086048993
2006-01-06,5.01525,4.600467756934425,7.25,7.685185185185183,0.0067787499999999775,0.000982451923076923,0.0077612019230769,0.0077712649273450835,0.0009041515059015059,0.00867541643324659,-0.0009142145101696895,103.38140159904894
2006-01-13,5.077999999999999,4.6172825717492385,7.25,7.648148148148147,-0.004549374999999958,0.0009644711538461539,-0.003584903846153804,-0.0012860219478737333,0.0008847053378720047,-0.0004013166100017286,-0.0031835872361520756,103.0522778884627
2006-01-20,5.10175,4.625319608786277,7.25,7.685185185185183,-0.001721875000000044,0.0009765384615384614,-0.0007453365384615825,-0.000617661179698304,0.0008879389561056229,0.00027027777640731884,-0.0010156143148689013,102.94761651985934
2006-01-27,5.072,4.638023312489979,7.25,7.685185185185183,0.002156874999999996,0.0009811057692307693,0.0031379807692307653,-0.0009763031550067699,0.0008894845401512071,-8.681861485556274e-05,0.0032247993840863283,103.27960193020573
2006-02-03,5.04225,4.720814814814815,7.25,7.685185185185183,0.002156874999999996,0.0009753846153846154,0.0031322596153846114,-0.006362680271260493,0.0008919275600942268,-0.005470752711166266,0.008603012326550877,104.16811761869256
2006-02-10,5.04675,4.707259259259258,7.25,7.685185185185183,-0.00032625000000001235,0.0009696634615384616,0.0006434134615384492,0.00104176954732517,0.0009078490028490028,0.0019496185501741727,-0.0013062050886357235,104.0320526933854
2006-02-17,5.0285,4.664222222222222,7.25,7.685185185185183,0.0013231250000000072,0.0009705288461538462,0.0022936538461538532,0.0033074759945129926,0.000905242165242165,0.004212718159755158,-0.0019190643136013045,103.83240849359083
2006-02-24,5.01225,4.654888888888889,7.375,7.685185185185183,0.0011984375000000235,0.0009670192307692308,0.002165456730769254,0.0007172839506172048,0.0008969658119658119,0.0016142497625830166,0.0005512069681862376,103.88964164067606
2006-03-03,5.00625,4.760092753629629,7.375,7.685185185185183,0.0004425000000000168,0.0009638942307692307,0.0014063942307692475,-0.008085111827297597,0.0008951709401709402,-0.007189940887126657,0.008596335117895905,104.78271181549744
2006-03-10,5.03025,4.802685346222221,7.25,7.685185185185183,-0.0017400000000000015,0.0009627403846153846,-0.0007772596153846169,-0.0032733196159121505,0.0009154024526210826,-0.002357917163291068,0.001580657547906451,104.9483373998187
2006-03-17,5.02575,4.766537198074073,7.375,7.685185185185183,0.0003318749999999471,0.0009673557692307692,0.0012992307692307162,0.0027780521262002486,0.0009235933358119656,0.003701645462012214,-0.002402414692781498,104.6962079720664
2006-03-24,5.083,4.739685346222222,7.25,7.685185185185183,-0.004150624999999986,0.0009664903846153847,-0.0031841346153846013,0.0020636145404663276,0.0009166417688603987,0.0029802563093267263,-0.006164390924711327,104.0508196177917
2006-03-31,5.0975,4.758796457333332,7.375,7.72222222222222,-0.0010693749999999968,0.0009775,-9.187499999999669e-05,-0.0014758024691357307,0.0009114779511965812,-0.0005643245179391495,0.00047244951793915283,104.0999783773613
2006-04-07,5.23275,4.936313061689842,7.25,7.648148148148145,-0.009805625000000005,0.0009802884615384615,-0.008825336538461544,-0.01357673288874785,0.0009151531648717946,-0.012661579723876056,0.0038362431854145115,104.49933121001322
2006-04-14,5.2705,4.956535283912063,7.25,7.611111111111109,-0.0027368749999999967,0.001006298076923077,-0.0017305769230769198,-0.0015391358024690785,0.0009492909734018927,-0.0005898448290671857,-0.001140732094009734,104.38012546909941
2006-04-21,5.207750000000001,4.942461209837989,7.25,7.611111111111109,0.004549374999999958,0.0010135576923076923,0.00556293269230765,0.0010711934156378469,0.0009531798622907814,0.0020243732779286283,0.0035385594143790217,104.74948074475216
2006-04-28,5.1705,4.957350098726878,7.25,7.648148148148147,0.002700625000000081,0.0010014903846153847,0.003702115384615466,-0.0011387242798353786,0.0009504733095842288,-0.00018825097025114987,0.003890366354866616,105.1569946003313
2006-05-05,5.218,5.039764309764308,7.25,7.611111111111111,-0.003443750000000023,0.0009943269230769229,-0.0024494230769231003,-0.006272637173404408,0.0009533365574474766,-0.005319300615956932,0.0028698775390338317,105.4587822972071
2006-05-12,5.22625,5.002764309764308,7.25,7.648148148148147,-0.0005981250000000227,0.0010034615384615384,0.0004053365384615157,0.0028298148148148084,0.0009691854441854439,0.003799000259000252,-0.003393663720538736,105.10089065371287
2006-05-19,5.2215,5.12287542087542,7.25,7.574074074074073,0.0003443750000000345,0.001005048076923077,0.0013494230769231115,-0.009097304526749032,0.0009620700595700594,-0.008135234467178972,0.009484657544102083,106.09773660914345
2006-05-26,5.183,5.1699124579124565,7.25,7.574074074074073,0.002791249999999998,0.0010041346153846153,0.0037953846153846137,-0.003562620027434771,0.00098516835016835,-0.0025774516772664206,0.006372836292651034,106.77388011557434
2006-06-02,5.44625,5.232885787703704,7.25,7.574074074074073,-0.019085625000000016,0.0009967307692307693,-0.018088894230769245,-0.004769646645300015,0.000994213934213934,-0.0037754327110860806,-0.014313461519683164,105.24557629123281
2006-06-09,5.4079999999999995,5.313589491407406,7.25,7.5370370370370345,0.0027731250000000407,0.0010473557692307692,0.00382048076923081,-0.006082668038408662,0.00100632418994302,-0.005076343848465642,0.008896824617696452,106.1819277252843
